season,week,team,arm,team_game,actual_team_targets,pred_team_targets,budget_error,budget_crps
2022,4,GB,Q8_BUDGET_SHRINK,2022-4-GB,32,32.7804,0.7804,1.69173
2022,4,HOU,BASELINE,2022-4-HOU,35,33.4915,-1.5085,2.22493
2022,4,HOU,Q8_BUDGET_SHRINK,2022-4-HOU,35,33.52,-1.48,2.20069
2022,4,IND,BASELINE,2022-4-IND,36,31.9722,-4.0278,2.60615
2022,4,IND,Q8_BUDGET_SHRINK,2022-4-IND,36,32.526,-3.474,2.43507
2022,4,JAX,BASELINE,2022-4-JAX,23,35.1053,12.1053,7.82117
2022,4,JAX,Q8_BUDGET_SHRINK,2022-4-JAX,23,34.5758,11.5758,7.21306
2022,4,KC,BASELINE,2022-4-KC,34,37.6111,3.6111,2.45634
2022,4,KC,Q8_BUDGET_SHRINK,2022-4-KC,34,36.2154,2.2154,2.08496
2022,4,LA,BASELINE,2022-4-LA,48,35.1389,-12.8611,8.80737
2022,4,LA,Q8_BUDGET_SHRINK,2022-4-LA,48,34.5978,-13.4022,9.43844
2022,4,LAC,BASELINE,2022-4-LAC,37,39.0,2.0,2.01231
2022,4,LAC,Q8_BUDGET_SHRINK,2022-4-LAC,37,37.1241,0.1241,1.92114
2022,4,LV,BASELINE,2022-4-LV,30,33.4915,3.4915,2.2718
2022,4,LV,Q8_BUDGET_SHRINK,2022-4-LV,30,33.52,3.52,2.26147
2022,4,MIA,BASELINE,2022-4-MIA,36,33.4915,-2.5085,2.34209
2022,4,MIA,Q8_BUDGET_SHRINK,2022-4-MIA,36,33.52,-2.48,2.36753
2022,4,MIN,BASELINE,2022-4-MIN,35,33.4915,-1.5085,2.1086
2022,4,MIN,Q8_BUDGET_SHRINK,2022-4-MIN,35,33.52,-1.48,2.08404
2022,4,NE,BASELINE,2022-4-NE,20,28.8889,8.8889,4.89693
2022,4,NE,Q8_BUDGET_SHRINK,2022-4-NE,20,30.5086,10.5086,6.19529
2022,4,NO,BASELINE,2022-4-NO,28,33.4915,5.4915,2.98124
2022,4,NO,Q8_BUDGET_SHRINK,2022-4-NO,28,33.52,5.52,3.00734
2022,4,NYG,BASELINE,2022-4-NYG,15,33.4915,18.4915,14.77308
2022,4,NYG,Q8_BUDGET_SHRINK,2022-4-NYG,15,33.52,18.52,14.84136
2022,4,NYJ,BASELINE,2022-4-NYJ,32,36.45,4.45,3.06654
2022,4,NYJ,Q8_BUDGET_SHRINK,2022-4-NYJ,32,35.4557,3.4557,2.61171
2022,4,PHI,BASELINE,2022-4-PHI,24,28.1,4.1,2.79535
2022,4,PHI,Q8_BUDGET_SHRINK,2022-4-PHI,24,29.9925,5.9925,3.60805
2022,4,PIT,BASELINE,2022-4-PIT,25,39.0556,14.0556,9.80495
2022,4,PIT,Q8_BUDGET_SHRINK,2022-4-PIT,25,37.1604,12.1604,7.98704
